file,line,original,category,proposed_key,is_user_facing
app/routers/tutorials.py,57,成长体系,button,tutorials.progression,yes
app/routers/tutorials.py,58,代币系统,button,tutorials.currency,yes
app/routers/tutorials.py,59,道具系统,button,tutorials.item,yes
app/routers/tutorials.py,60,成就系统,button,tutorials.achievement,yes
app/routers/tutorials.py,61,任务系统,button,tutorials.quest,yes
app/routers/tutorials.py,62,等级 (Tier),label,tutorials.tier,yes
app/routers/tutorials.py,63,活动事件,button,tutorials.event,yes
app/routers/tutorials.py,65,Reward Roulette,label,tutorials.reward_roulette,yes
app/routers/tutorials.py,65,抽奖轮盘,button,tutorials.lottery,yes
app/routers/tutorials.py,66,联赛,button,tutorials.league,yes
app/routers/tutorials.py,67,Battle Pass,label,tutorials.battle_pass,yes
app/routers/tutorials.py,67,战令通行证,button,tutorials.battle_pass_2,yes
app/routers/tutorials.py,68,Smart Quests,label,tutorials.smart_quests,yes
app/routers/tutorials.py,68,智能任务,button,tutorials.quest_2,yes
app/routers/tutorials.py,69,Story Quest,label,tutorials.story_quest,yes
app/routers/tutorials.py,69,剧情任务,button,tutorials.quest_3,yes
app/routers/tutorials.py,70,生命值,button,tutorials.s_37be5a,yes
app/routers/tutorials.py,71,锦标赛,button,tutorials.s_1f4a41,yes
app/routers/tutorials.py,72,收藏册,button,tutorials.s_3f4364,yes
app/routers/tutorials.py,73,Badge Wall,label,tutorials.badge_wall,yes
app/routers/tutorials.py,73,勋章墙,button,tutorials.s_61de78,yes
app/routers/tutorials.py,75,连续打卡,button,tutorials.s_51ba2b,yes
app/routers/tutorials.py,77,Voucher Builder,label,tutorials.voucher_builder,yes
app/routers/tutorials.py,77,优惠券模板,button,tutorials.voucher,yes
app/routers/tutorials.py,78,优惠券,button,tutorials.voucher_2,yes
app/routers/tutorials.py,80,Social Graph,label,tutorials.social_graph,yes
app/routers/tutorials.py,80,社交图谱,button,tutorials.s_897dfb,yes
app/routers/tutorials.py,81,Social Feed,label,tutorials.social_feed,yes
app/routers/tutorials.py,81,社交动态,button,tutorials.s_559d12,yes
app/routers/tutorials.py,82,Auto Share,label,tutorials.auto_share,yes
app/routers/tutorials.py,82,自动分享,button,tutorials.s_d7f675,yes
app/routers/tutorials.py,83,Share to Win,label,tutorials.share_to_win,yes
app/routers/tutorials.py,83,分享得奖,button,tutorials.s_9403af,yes
app/routers/tutorials.py,84,Energy Invite,label,tutorials.energy_invite,yes
app/routers/tutorials.py,84,邀请送能量,button,tutorials.s_1b690a,yes
app/routers/tutorials.py,85,Friend Challenge,label,tutorials.friend_challenge,yes
app/routers/tutorials.py,85,好友挑战,button,tutorials.s_27456c,yes
app/routers/tutorials.py,86,Ladder Climb,label,tutorials.ladder_climb,yes
app/routers/tutorials.py,86,天梯攀升,button,tutorials.s_2f1941,yes
app/routers/tutorials.py,87,Streak Rescue,label,tutorials.streak_rescue,yes
app/routers/tutorials.py,87,续命挽救,button,tutorials.s_3006da,yes
app/routers/tutorials.py,88,排行榜,button,tutorials.leaderboard,yes
app/routers/tutorials.py,89,Network Effect,label,tutorials.network_effect,yes
app/routers/tutorials.py,89,网络效应,button,tutorials.s_4b0b21,yes
app/routers/tutorials.py,91,Score → Coupon,label,tutorials.score_coupon,yes
app/routers/tutorials.py,91,积分换券,button,tutorials.points,yes
app/routers/tutorials.py,92,能量系统,button,tutorials.s_b4b8b4,yes
app/routers/tutorials.py,93,增值推荐,button,tutorials.s_9dd59d,yes
app/routers/tutorials.py,94,Redemption Store,label,tutorials.redemption_store,yes
app/routers/tutorials.py,94,兑换商店,button,tutorials.redeem,yes
app/routers/tutorials.py,95,Rate Limit,label,tutorials.rate_limit,yes
app/routers/tutorials.py,95,频率限制,button,tutorials.s_6b57e8,yes
app/routers/tutorials.py,97,Group Actions,label,tutorials.group_actions,yes
app/routers/tutorials.py,97,团购助力,button,tutorials.s_93250c,yes
app/routers/tutorials.py,98,Group Buy,label,tutorials.group_buy,yes
app/routers/tutorials.py,98,拼团,button,tutorials.s_0dc5dc,yes
app/routers/tutorials.py,99,Atomic Group,label,tutorials.atomic_group,yes
app/routers/tutorials.py,99,原子团,button,tutorials.s_135421,yes
app/routers/tutorials.py,100,Price Cut,label,tutorials.price_cut,yes
app/routers/tutorials.py,100,砍一刀,button,tutorials.s_075ede,yes
app/routers/tutorials.py,102,Coop Quest,label,tutorials.coop_quest,yes
app/routers/tutorials.py,102,合作任务,button,tutorials.quest_4,yes
app/routers/tutorials.py,103,副本,button,tutorials.s_0428b3,yes
app/routers/tutorials.py,104,战队,button,tutorials.s_ffb4e2,yes
app/routers/tutorials.py,105,领地战,button,tutorials.s_32a41a,yes
app/routers/tutorials.py,107,Gift Sending,label,tutorials.gift_sending,yes
app/routers/tutorials.py,107,送礼,button,tutorials.s_fd735e,yes
app/routers/tutorials.py,108,Trading Post,label,tutorials.trading_post,yes
app/routers/tutorials.py,108,交易所,button,tutorials.s_d60b79,yes
app/routers/tutorials.py,109,Group Reward,label,tutorials.group_reward,yes
